epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,173.944,1.38,1.85691,1.62868,0.48307,0.37543,0.35331,0.17453,1.76109,2.24229,2.12659,0.000302351,0.000302351,0.000302351
2,310.126,1.49253,1.69921,1.71426,0.53906,0.43101,0.45568,0.23513,1.56579,1.7464,1.95669,0.000593365,0.000593365,0.000593365
3,444.261,1.43989,1.60499,1.67646,0.5567,0.47106,0.51632,0.27109,1.60096,2.0664,1.9789,0.00087238,0.00087238,0.00087238
4,577.762,1.36167,1.43724,1.61265,0.52562,0.62941,0.61098,0.36326,1.33866,1.43892,1.72881,0.000855005,0.000855005,0.000855005
5,709.648,1.27973,1.26506,1.54081,0.69422,0.70549,0.71635,0.45749,1.14547,1.08593,1.54944,0.000837007,0.000837007,0.000837007
6,841.209,1.2016,1.14925,1.48535,0.82678,0.66805,0.78566,0.50527,1.1161,0.99036,1.53107,0.000819009,0.000819009,0.000819009
7,974.584,1.14438,1.04661,1.43425,0.78865,0.77642,0.79912,0.52484,1.09268,0.86367,1.52368,0.000801011,0.000801011,0.000801011
8,1105.75,1.09632,0.98702,1.39864,0.80241,0.72132,0.80073,0.53978,1.03442,0.88826,1.45287,0.000783013,0.000783013,0.000783013
9,1237.13,1.06761,0.93509,1.37975,0.76356,0.79801,0.82094,0.57394,0.97389,0.79986,1.39676,0.000765014,0.000765014,0.000765014
10,1369.83,1.02881,0.87967,1.34792,0.79856,0.81272,0.84458,0.60518,0.92567,0.72846,1.33666,0.000747016,0.000747016,0.000747016
11,1500.71,1.00158,0.84503,1.33011,0.82846,0.81685,0.86149,0.61586,0.89517,0.6813,1.32547,0.000729018,0.000729018,0.000729018
12,1632.95,0.97339,0.80024,1.30356,0.8315,0.80812,0.84328,0.6087,0.8931,0.66488,1.32819,0.00071102,0.00071102,0.00071102
13,1765.01,0.94859,0.78182,1.29472,0.81303,0.80589,0.84193,0.61735,0.83535,0.69614,1.27542,0.000693022,0.000693022,0.000693022
14,1896.37,0.91853,0.73481,1.27121,0.86491,0.79541,0.87124,0.64623,0.83502,0.64118,1.28961,0.000675023,0.000675023,0.000675023
15,2028.91,0.90435,0.72593,1.2607,0.80434,0.8418,0.86143,0.64705,0.82248,0.65199,1.26057,0.000657025,0.000657025,0.000657025
16,2160.34,0.86893,0.67848,1.2317,0.83204,0.87284,0.87498,0.66038,0.80011,0.56131,1.23927,0.000639027,0.000639027,0.000639027
17,2292.09,0.86335,0.66734,1.23324,0.85656,0.84387,0.89181,0.6632,0.82151,0.59002,1.25712,0.000621029,0.000621029,0.000621029
18,2424.61,0.84921,0.64335,1.21846,0.8346,0.79941,0.87099,0.65612,0.79832,0.61872,1.25106,0.000603031,0.000603031,0.000603031
19,2556.38,0.82033,0.62641,1.20494,0.83739,0.824,0.88043,0.672,0.78162,0.61157,1.22974,0.000585032,0.000585032,0.000585032
20,2688.32,0.80823,0.61007,1.19738,0.80715,0.83603,0.86548,0.66893,0.76961,0.64111,1.21058,0.000567034,0.000567034,0.000567034
21,2820.47,0.78963,0.593,1.18052,0.85618,0.82393,0.8849,0.68325,0.73972,0.58761,1.19423,0.000549036,0.000549036,0.000549036
22,2951.99,0.78875,0.58639,1.18452,0.83645,0.82769,0.88824,0.69521,0.74253,0.61653,1.19193,0.000531038,0.000531038,0.000531038
23,3084.76,0.75852,0.56623,1.16757,0.83392,0.84225,0.8963,0.69687,0.73077,0.55672,1.18371,0.00051304,0.00051304,0.00051304
24,3216.27,0.74946,0.5465,1.15591,0.83768,0.83804,0.88615,0.69686,0.7124,0.56016,1.17401,0.000495041,0.000495041,0.000495041
25,3346.83,0.74663,0.53861,1.15421,0.84027,0.83504,0.88193,0.6943,0.7331,0.65592,1.19271,0.000477043,0.000477043,0.000477043
26,3479.27,0.72521,0.52493,1.13927,0.86454,0.83678,0.88129,0.6945,0.7169,0.59117,1.18182,0.000459045,0.000459045,0.000459045
27,3610.28,0.71164,0.50912,1.13152,0.823,0.85725,0.90147,0.70741,0.70771,0.51941,1.17859,0.000441047,0.000441047,0.000441047
28,3741.94,0.70022,0.5047,1.12309,0.86862,0.85364,0.90087,0.72122,0.68368,0.54942,1.14554,0.000423049,0.000423049,0.000423049
29,3874.16,0.68825,0.48502,1.1126,0.85568,0.83342,0.8917,0.71339,0.72328,0.62465,1.17252,0.00040505,0.00040505,0.00040505
30,4005.67,0.67969,0.48453,1.1146,0.8725,0.86495,0.90865,0.73114,0.68001,0.48445,1.13644,0.000387052,0.000387052,0.000387052
31,4137.81,0.65766,0.46541,1.09478,0.8647,0.83683,0.89761,0.71859,0.67763,0.55296,1.1465,0.000369054,0.000369054,0.000369054
32,4270.2,0.66266,0.46855,1.09669,0.86993,0.85202,0.91654,0.73211,0.68362,0.49466,1.15097,0.000351056,0.000351056,0.000351056
33,4401.25,0.63492,0.44109,1.08365,0.83907,0.84736,0.9023,0.72573,0.68085,0.60097,1.15862,0.000333058,0.000333058,0.000333058
34,4534.37,0.63307,0.44091,1.07868,0.8607,0.82541,0.90681,0.73093,0.67519,0.57649,1.14351,0.000315059,0.000315059,0.000315059
35,4665.71,0.62259,0.43637,1.07553,0.8679,0.86024,0.91653,0.74411,0.65398,0.52018,1.13904,0.000297061,0.000297061,0.000297061
36,4797.12,0.60538,0.41662,1.06661,0.87762,0.8593,0.91179,0.74842,0.63689,0.50548,1.12262,0.000279063,0.000279063,0.000279063
37,4929.7,0.60046,0.41397,1.06459,0.85881,0.86967,0.91542,0.7553,0.62949,0.50104,1.12055,0.000261065,0.000261065,0.000261065
38,5060.62,0.58374,0.40328,1.05476,0.90193,0.83877,0.91446,0.75244,0.6389,0.52524,1.11443,0.000243067,0.000243067,0.000243067
39,5192.28,0.58168,0.39754,1.05095,0.86611,0.87021,0.92398,0.76053,0.6195,0.50447,1.11088,0.000225068,0.000225068,0.000225068
40,5323.32,0.56358,0.3844,1.04284,0.88623,0.85726,0.93047,0.76414,0.61904,0.50733,1.1103,0.00020707,0.00020707,0.00020707
41,5480.91,0.49703,0.29098,0.99791,0.86532,0.85799,0.91775,0.75393,0.62114,0.55016,1.10879,0.000189072,0.000189072,0.000189072
42,5613.63,0.47686,0.28309,0.98841,0.87319,0.847,0.90852,0.75605,0.61731,0.56156,1.10363,0.000171074,0.000171074,0.000171074
43,5745.04,0.45153,0.26593,0.97114,0.89218,0.86614,0.91795,0.76243,0.60567,0.53065,1.09525,0.000153076,0.000153076,0.000153076
44,5875.91,0.44005,0.26029,0.96031,0.88505,0.87137,0.92337,0.76755,0.6124,0.54219,1.11211,0.000135077,0.000135077,0.000135077
45,6007.95,0.42456,0.25312,0.95161,0.90174,0.8797,0.92524,0.7741,0.59585,0.52174,1.09364,0.000117079,0.000117079,0.000117079
46,6139.07,0.41219,0.24648,0.94357,0.90656,0.87706,0.92855,0.77627,0.59691,0.50646,1.10593,9.9081e-05,9.9081e-05,9.9081e-05
47,6270.36,0.40042,0.2388,0.93826,0.90067,0.87784,0.92643,0.77874,0.591,0.50708,1.09142,8.10828e-05,8.10828e-05,8.10828e-05
48,6402.72,0.38725,0.23175,0.92705,0.89622,0.87022,0.92337,0.77637,0.58322,0.5082,1.09951,6.30846e-05,6.30846e-05,6.30846e-05
49,6533.6,0.37951,0.22837,0.92426,0.9011,0.87301,0.92586,0.77778,0.57927,0.49437,1.09909,4.50864e-05,4.50864e-05,4.50864e-05
50,6664.8,0.36997,0.22393,0.91831,0.90031,0.86604,0.92636,0.77846,0.58127,0.48454,1.10201,2.70882e-05,2.70882e-05,2.70882e-05
